Crop Size,Tumor,Coverage,Cases,Total,Percentage (%)
160³,GTVp,100%,674,751,89.74700399467376
160³,GTVp,≥99%,683,751,90.94540612516644
160³,GTVp,≥95%,696,751,92.67643142476697
160³,GTVp,≥90%,702,751,93.47536617842876
160³,GTVp,≥75%,717,751,95.47270306258322
160³,GTVp,≥50%,732,751,97.47003994673769
160³,GTVp,<50%,19,751,2.5299600532623168
160³,GTVn,100%,552,695,79.42446043165468
160³,GTVn,≥99%,572,695,82.3021582733813
160³,GTVn,≥95%,602,695,86.61870503597122
160³,GTVn,≥90%,633,695,91.07913669064749
160³,GTVn,≥75%,657,695,94.53237410071942
160³,GTVn,≥50%,676,695,97.26618705035972
160³,GTVn,<50%,19,695,2.7338129496402876
192³,GTVp,100%,726,751,96.6711051930759
192³,GTVp,≥99%,729,751,97.07057256990679
192³,GTVp,≥95%,734,751,97.73635153129162
192³,GTVp,≥90%,736,751,98.00266311584554
192³,GTVp,≥75%,741,751,98.66844207723035
192³,GTVp,≥50%,747,751,99.46737683089215
192³,GTVp,<50%,4,751,0.5326231691078562
192³,GTVn,100%,639,695,91.94244604316546
192³,GTVn,≥99%,651,695,93.66906474820144
192³,GTVn,≥95%,663,695,95.39568345323741
192³,GTVn,≥90%,671,695,96.54676258992805
192³,GTVn,≥75%,682,695,98.12949640287769
192³,GTVn,≥50%,690,695,99.28057553956835
192³,GTVn,<50%,5,695,0.7194244604316546
224³,GTVp,100%,744,751,99.06790945406125
224³,GTVp,≥99%,745,751,99.20106524633822
224³,GTVp,≥95%,747,751,99.46737683089215
224³,GTVp,≥90%,748,751,99.6005326231691
224³,GTVp,≥75%,749,751,99.73368841544607
224³,GTVp,≥50%,749,751,99.73368841544607
224³,GTVp,<50%,2,751,0.2663115845539281
224³,GTVn,100%,674,695,96.97841726618705
224³,GTVn,≥99%,676,695,97.26618705035972
224³,GTVn,≥95%,681,695,97.98561151079137
224³,GTVn,≥90%,686,695,98.70503597122303
224³,GTVn,≥75%,691,695,99.42446043165468
224³,GTVn,≥50%,694,695,99.85611510791367
224³,GTVn,<50%,1,695,0.14388489208633093
