Crop Size,GTV Coverage,GTVp,GTVn
160³,100%,674/751 (89.7%),552/695 (79.4%)
160³,≥99%,683/751 (90.9%),572/695 (82.3%)
160³,≥95%,696/751 (92.7%),602/695 (86.6%)
160³,≥90%,702/751 (93.5%),633/695 (91.1%)
160³,≥75%,717/751 (95.5%),657/695 (94.5%)
160³,≥50%,732/751 (97.5%),676/695 (97.3%)
160³,<50%,19/751 (2.5%),19/695 (2.7%)
192³,100%,726/751 (96.7%),639/695 (91.9%)
192³,≥99%,729/751 (97.1%),651/695 (93.7%)
192³,≥95%,734/751 (97.7%),663/695 (95.4%)
192³,≥90%,736/751 (98.0%),671/695 (96.5%)
192³,≥75%,741/751 (98.7%),682/695 (98.1%)
192³,≥50%,747/751 (99.5%),690/695 (99.3%)
192³,<50%,4/751 (0.5%),5/695 (0.7%)
224³,100%,744/751 (99.1%),674/695 (97.0%)
224³,≥99%,745/751 (99.2%),676/695 (97.3%)
224³,≥95%,747/751 (99.5%),681/695 (98.0%)
224³,≥90%,748/751 (99.6%),686/695 (98.7%)
224³,≥75%,749/751 (99.7%),691/695 (99.4%)
224³,≥50%,749/751 (99.7%),694/695 (99.9%)
224³,<50%,2/751 (0.3%),1/695 (0.1%)
