Crop Size,Tumor,Coverage Threshold,Cases,Total,Percentage
160³,GTVp,100%,174,197,88.3248730964467
160³,GTVp,≥99%,176,197,89.34010152284264
160³,GTVp,≥95%,182,197,92.38578680203045
160³,GTVp,≥90%,183,197,92.89340101522842
160³,GTVp,≥75%,186,197,94.41624365482234
160³,GTVp,≥50%,192,197,97.46192893401015
160³,GTVp,<50%,5,197,2.5380710659898478
160³,GTVn,100%,142,169,84.02366863905326
160³,GTVn,≥99%,145,169,85.79881656804734
160³,GTVn,≥95%,154,169,91.12426035502959
160³,GTVn,≥90%,160,169,94.67455621301775
160³,GTVn,≥75%,162,169,95.85798816568047
160³,GTVn,≥50%,163,169,96.44970414201184
160³,GTVn,<50%,6,169,3.5502958579881656
192³,GTVp,100%,190,197,96.44670050761421
192³,GTVp,≥99%,191,197,96.95431472081218
192³,GTVp,≥95%,193,197,97.96954314720813
192³,GTVp,≥90%,194,197,98.4771573604061
192³,GTVp,≥75%,195,197,98.98477157360406
192³,GTVp,≥50%,196,197,99.49238578680203
192³,GTVp,<50%,1,197,0.5076142131979695
192³,GTVn,100%,160,169,94.67455621301775
192³,GTVn,≥99%,162,169,95.85798816568047
192³,GTVn,≥95%,165,169,97.63313609467455
192³,GTVn,≥90%,165,169,97.63313609467455
192³,GTVn,≥75%,167,169,98.81656804733728
192³,GTVn,≥50%,167,169,98.81656804733728
192³,GTVn,<50%,2,169,1.183431952662722
224³,GTVp,100%,195,197,98.98477157360406
224³,GTVp,≥99%,195,197,98.98477157360406
224³,GTVp,≥95%,196,197,99.49238578680203
224³,GTVp,≥90%,196,197,99.49238578680203
224³,GTVp,≥75%,196,197,99.49238578680203
224³,GTVp,≥50%,196,197,99.49238578680203
224³,GTVp,<50%,1,197,0.5076142131979695
224³,GTVn,100%,165,169,97.63313609467455
224³,GTVn,≥99%,167,169,98.81656804733728
224³,GTVn,≥95%,167,169,98.81656804733728
224³,GTVn,≥90%,167,169,98.81656804733728
224³,GTVn,≥75%,168,169,99.40828402366864
224³,GTVn,≥50%,168,169,99.40828402366864
224³,GTVn,<50%,1,169,0.591715976331361
