Crop Size,Tumor,Coverage Threshold,Cases,Total,Percentage
160³,GTVp,100%,176,188,93.61702127659575
160³,GTVp,≥99%,177,188,94.14893617021276
160³,GTVp,≥95%,179,188,95.2127659574468
160³,GTVp,≥90%,180,188,95.74468085106383
160³,GTVp,≥75%,183,188,97.34042553191489
160³,GTVp,≥50%,187,188,99.46808510638297
160³,GTVp,<50%,1,188,0.5319148936170213
160³,GTVn,100%,134,183,73.22404371584699
160³,GTVn,≥99%,141,183,77.04918032786885
160³,GTVn,≥95%,149,183,81.4207650273224
160³,GTVn,≥90%,161,183,87.97814207650273
160³,GTVn,≥75%,173,183,94.53551912568307
160³,GTVn,≥50%,178,183,97.26775956284153
160³,GTVn,<50%,5,183,2.73224043715847
192³,GTVp,100%,185,188,98.40425531914893
192³,GTVp,≥99%,185,188,98.40425531914893
192³,GTVp,≥95%,187,188,99.46808510638297
192³,GTVp,≥90%,187,188,99.46808510638297
192³,GTVp,≥75%,187,188,99.46808510638297
192³,GTVp,≥50%,188,188,100.0
192³,GTVp,<50%,0,188,0.0
192³,GTVn,100%,162,183,88.52459016393442
192³,GTVn,≥99%,167,183,91.2568306010929
192³,GTVn,≥95%,170,183,92.89617486338798
192³,GTVn,≥90%,175,183,95.62841530054645
192³,GTVn,≥75%,179,183,97.81420765027322
192³,GTVn,≥50%,182,183,99.4535519125683
192³,GTVn,<50%,1,183,0.546448087431694
224³,GTVp,100%,187,188,99.46808510638297
224³,GTVp,≥99%,187,188,99.46808510638297
224³,GTVp,≥95%,187,188,99.46808510638297
224³,GTVp,≥90%,188,188,100.0
224³,GTVp,≥75%,188,188,100.0
224³,GTVp,≥50%,188,188,100.0
224³,GTVp,<50%,0,188,0.0
224³,GTVn,100%,175,183,95.62841530054645
224³,GTVn,≥99%,175,183,95.62841530054645
224³,GTVn,≥95%,178,183,97.26775956284153
224³,GTVn,≥90%,180,183,98.36065573770492
224³,GTVn,≥75%,181,183,98.90710382513662
224³,GTVn,≥50%,183,183,100.0
224³,GTVn,<50%,0,183,0.0
